"id","name","sugar","calories","price","category","image","trade_mark","manufacturer","weight","count","unit_type","has_sweeteners","is_carbonated","has_caffeine"
"1743","Dunkin Donuts Coffee - Ground Decaf Dunkin","0.000",0.000,"7.69","Coffee","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/t/fh66sphopv0p1p3.jpg","Dunkin Donuts","Dunkin' Brands Group, Inc.","12 oz",1,"packet",0,0,0
"1744","Dunkin Donuts Coffee - Ground Dunkin Dark","0.000",0.000,"7.69","Coffee","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/h/1ijbwambs7y37p9.jpg","Dunkin Donuts","Dunkin' Brands Group, Inc.","11 oz",1,"packet",0,0,1
"1745","Dunkin Donuts Coffee - Ground Original Blend (Medium)","0.000",0.000,"7.69","Coffee","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/f/be76h7azpw5ghaj.jpg","Dunkin Donuts","Dunkin' Brands Group, Inc.","12 oz",1,"packet",0,0,1
"1746","Eight OClock Coffee - Original Ground","0.000",0.000,"5.75","Coffee","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/1/sgc3ae503d1wzug.jpg","Eight OClock","Eight O'Clock Coffee Company","12 oz",1,"packet",0,0,1
"1747","Eight OClock Coffee - Ground Coffee - 100% Columbian","0.000",0.000,"5.75","Coffee","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/w/guh4g8ls3pstweb.jpg","Eight OClock","Eight O'Clock Coffee Company","11 oz",1,"packet",0,0,1
"1757","Starbucks Coffee - Bold Ground Caffe Verona","0.000",0.000,"8.99","Coffee","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/m/eu320ivw53smgkx.jpg","Starbucks","Starbucks","12 oz",1,"packet",0,0,1
"1758","Starbucks Coffee - Bold Ground Espresso Roast","0.000",0.000,"8.99","Coffee","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/6/v1238dx056dsbs9.jpg","Starbucks","Starbucks","12 oz",1,"packet",0,0,1
"1759","Starbucks Coffee - Ground Decaf Caffe Verona","0.000",0.000,"9.49","Coffee","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/t/m45f2dztigzbtjp.jpg","Starbucks","Starbucks","12 oz",1,"packet",0,0,0
"1772","Eight OClock Coffee - 100% Columbian Whole Bean","0.000",0.000,"5.75","Coffee","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/0/1npw877jtf1kw3u.jpg","Eight Oclock","Eight O'Clock Coffee Company","11 oz",1,"packet",0,0,1
"1773","Eight OClock Coffee - Decaffeinated Whole Bean Original","0.000",0.000,"6.49","Coffee","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/z/hqfjkxdhc9oxgtg.jpg","Eight OClock","Eight O'Clock Coffee Company","12 oz",1,"packet",0,0,0
"1800","Glaceau Vitamin Water - Lemonade","0.000",0.000,"1.59","Energy Drinks","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/u/qt7m508kdzrzx42.jpg","Glaceau","Coca Cola","20 oz",1,"bottle",1,0,1
"1801","Glaceau Vitamin Water - Grape-Rasberry","0.000",0.000,"1.59","Energy Drinks","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/s/g2bbqshma3vodap.jpg","Glaceau","Coca Cola","20 oz",1,"bottle",1,0,1
"1802","Glaceau Vitamin Water - Blueberry-Pomegranate","0.000",0.000,"1.59","Energy Drinks","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/7/uhv9brzx9xvqv3k.jpg","Glaceau","Coca Cola","20 oz",1,"bottle",1,0,1
"1814","Arizona Ginseng Tea","0.000",0.000,"3.19","Iced Tea","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/a/pj9gq0myan74kiq.jpg","Arizona","Arizona Beverages USA","128 oz",1,"jug",1,0,1
"1822","Lipton Diet Iced Tea with Citrus","0.000",0.000,"1.49","Iced Tea","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/1/ixfh71mtax0yi0c.jpg","Lipton","Pepsi Co.","20 oz",1,"bottle",1,0,1
"1823","Lipton Diet Iced Tea with Citrus 8 pack","0.000",0.000,"7.99","Iced Tea","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/m/kenrdrf8lhe0jhv.jpg","Lipton","Pepsi Co.","160 oz",8,"bottles",1,0,1
"1872","Cherry Coca Cola Zero 12 oz - 12 pack","0.000",0.000,"6.19","Soda","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/7/fzjrt28g7hpyg99.jpg","Coca Cola","Coca Cola","144 oz",12,"can",1,1,1
"1876","Coke Zero 12 oz - 12 pack","0.000",0.000,"6.19","Soda","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/8/igwkx1rxkho1gqw.jpg","Coca Cola","Coca Cola","144 oz",12,"can",1,1,1
"1877","Coke Zero 2 Liter","0.000",0.000,"2.19","Soda","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/n/1mbzl46xlgn7qp6.jpg","Coca Cola","Coca Cola","67.6 oz",1,"bottle",1,1,1
"1879","Diet Coke 12 oz - 12 pack","0.000",0.000,"6.19","Soda","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/p/fqjr6jk4oo5xop4.jpg","Coca Cola","Coca Cola","144 oz",12,"can",1,1,1
"1880","Diet Pepsi 2 Liter","0.000",0.000,"1.89","Soda","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/b/0dfibrlz7iox47b.jpg","Pepsi","Pepsi Co.","67.6 oz",1,"bottle",1,1,1
"1881","Diet Wild Cherry Pepsi 2 Liter","0.000",0.000,"1.89","Soda","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/j/q0o9wb719kv8qis.jpg","Pepsi","Pepsi Co.","67.6 oz",1,"bottle",1,1,1
"1883","Diet Dr. Pepper 12 oz - 12 pk","0.000",0.000,"6.19","Soda","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/s/ptdkbqpa8pcpzsb.jpg","Dr. Pepper","Coca Cola","144 oz",12,"can",1,1,1
"1885","Diet Dr. Pepper Caffine Free - 12 oz / 12 pack","0.000",0.000,"6.19","Soda","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/q/y4pan4mm5vzwduu.jpg","Dr. Pepper","Coca Cola","144 oz",12,"can",1,1,0
"1886","Diet Dr. Pepper -2 Liter","0.000",0.000,"1.89","Soda","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/x/p0v0j9w48u6y71u.jpg","Dr. Pepper","Coca Cola","67.6 oz",1,"bottle",1,1,1
"1898","Pepsi Caffine Free 2 Liter","0.000",0.000,"1.89","Soda","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/3/5aaeq90pc8wfay6.jpg","Pepsi","Pepsi Co.","67.6 oz",1,"bottle",1,1,0
"1901","Pepsi Diet Caffine Free 12 oz - 12 pack","0.000",0.000,"6.19","Soda","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/5/xced5fpcuf8f16n.jpg","Pepsi","Pepsi Co.","144 oz",12,"can",1,1,0
"1902","Pepsi Diet Cherry 12 oz - 12 pack","0.000",0.000,"6.19","Soda","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/j/nmjjkbramp5v24w.jpg","Pepsi","Pepsi Co.","144 oz",12,"can",1,1,1
"1903","Pepsi Diet Cherry 2 L","0.000",0.000,"1.89","Soda","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/q/woza87a2l98jikj.jpg","Pepsi","Pepsi Co.","67.6 oz",1,"bottle",1,1,1
"1917","Schweppes Diet Ginger Ale - 2 Liter","0.000",0.000,"1.89","Soda","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/o/yh4ds4zgphgd1gf.jpg","Schweppes","Coca Cola","67.6 oz",1,"bottle",1,1,0
"1922","7 UP Diet Lemon Lime Soda - 2 Liter","0.000",0.000,"1.99","Soda","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/z/t3kti2vuw5trzdi.jpg","7 UP","Pepsi Co.","67.5 oz",1,"bottle",1,1,0
"1930","Sprite Zero 12 oz - 12 pack","0.000",0.000,"6.19","Soda","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/t/fv11z66ou27umw5.jpg","Sprite","Coca Cola","144 oz",12,"can",1,1,0
"1931","Sprite Zero 2 Liter","0.000",0.000,"2.19","Soda","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/q/5ywbpi4wnw4fwl8.jpg","Sprite","Coca Cola","67.5 oz",1,"bottle",1,1,0
"1936","Fanta Zero Orange Soda - 2 Liter","0.000",0.000,"2.19","Soda","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/0/qe4jhdt7malq7lb.jpg","Fanta","Coca Cola","67.6 oz",1,"bottle",1,1,0
"1939","Fanta Orange Diet Soda - 12 oz / 12 pack","0.000",0.000,"6.19","Soda","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/g/f9kavfbupu7e5n6.jpg","Fanta","Coca Cola","144 oz",12,"can",1,1,0
"1956","Bigelow Cinnamon Stick 20 teabags","0.000",0.000,"3.29","Tea","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/b/xkkx7rh3rsxovz4.jpg","Bigelow","Bigelow Tea Company","20 count",20,"bags",0,0,0
"1957","Bigelow Constant Comment - 20 teabags","0.000",0.000,"3.29","Tea","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/7/lnj4nld9zyl7rvr.jpg","Bigelow","Bigelow Tea Company","20 count",20,"bags",0,0,0
"1958","Bigelow Spiced Chai - 20 teabogs","0.000",0.000,"3.29","Tea","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/s/en1buttk8zqqyjd.jpg","Bigelow","Bigelow Tea Company","20 count",20,"bags",0,0,0
"1959","Bigelow - Plantation Mint - 20 teabags","0.000",0.000,"3.29","Tea","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/5/rahozt9nidqp6q6.jpg","Bigelow","Bigelow Tea Company","20 count",20,"bags",0,0,0
"1961","Bigelow - Earl Grey","0.000",0.000,"3.29","Tea","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/s/4p1u0qqyukyf04p.jpg","Bigelow","Bigelow Tea Company","20 count",20,"bags",0,0,1
"1962","Bigelow - English Breakfast","0.000",0.000,"3.29","Tea","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/a/ow3xnrddker1eh9.jpg","Bigelow","Bigelow Tea Company","20 count",20,"bags",0,0,1
"1963","Twinings - English Breakfast","0.000",0.000,"3.49","Tea","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/d/icxpa347rbntieo.jpg","Twinings","Associated British Foods","20 count",20,"bags",0,0,1
"1969","Bigelow - Green Tea - 20 count","0.000",0.000,"3.29","Tea","file:///home/dragiyski/projects/work/shoppingbehaviorlab/grocerysquare/public/images/products/q/1t68kkjsnuhajup.jpg","Bigelow","Bigelow Tea Company","20 count",20,"bags",0,0,1
