"name_0","price_1","weight_2","created_at_3","deleted_at_4","calories_value_5","calories_percent_6","fat_value_7","fat_percent_8","saturated_fat_value_9","saturated_fat_percent_10","sugar_value_11","sugar_percent_12","salt_value_13","salt_percent_14","serving_size_value_15","id_16","category_id_17","calories_unit_id_18","fat_unit_id_19","saturated_fat_unit_id_20","sugar_unit_id_21","salt_unit_id_22","serving_size_unit_id_23","category_name_24","location_25"
"4C Drink Mix - Fruit Punch","5.15","36 oz","2017-08-01 08:17:11",NULL,"60.000",NULL,"0.000",NULL,"0.000",NULL,"15.000",NULL,"0.010",NULL,"1.000","1779","57","3","1","1","1","1","12","Drink Mixes","images/products/6/suqjyq2q66i083f.jpg"
"4C Drink Mix - Lemonade","5.15","36 oz","2017-08-01 08:17:11",NULL,"60.000",NULL,"0.000",NULL,"0.000",NULL,"15.000",NULL,"0.010",NULL,"1.000","1780","57","3","1","1","1","1","12","Drink Mixes","images/products/a/6n0fezgcnu01wrt.jpg"
"4C Light Green Tea Mix","4.99","13.9 oz","2017-08-01 08:17:11",NULL,"15.000",NULL,"0.000",NULL,"0.000",NULL,"0.000",NULL,"0.000",NULL,"2.000","1811","60","3","1","1","1","1","12","Iced Tea","images/products/n/bld98r5vyaijr3m.jpg"
"7 UP Diet Lemon Lime 12 oz - 12 pack","6.19","144 oz","2017-08-01 08:17:11",NULL,"140.000",NULL,"0.000",NULL,"0.000",NULL,"38.000",NULL,"0.045",NULL,"12.000","1923","64","3","1","1","1","1","25","Soda","images/products/3/ngsfgqzppg6d92e.jpg"
"7 UP Diet Lemon Lime Soda - 2 Liter","1.99","67.5 oz","2017-08-01 08:17:11",NULL,"0.000",NULL,"0.000",NULL,"0.000",NULL,"0.000",NULL,"0.030",NULL,"12.000","1922","64","3","1","1","1","1","25","Soda","images/products/z/t3kti2vuw5trzdi.jpg"
"7 UP Lemon Lime Soda - 2 Liter","1.99","67.5 oz","2017-08-01 08:17:11",NULL,"100.000",NULL,"0.000",NULL,"0.000",NULL,"25.000",NULL,"0.025",NULL,"12.000","1921","64","3","1","1","1","1","25","Soda","images/products/l/n7iz2wdw0eejyjg.jpg"
"A&W Cream Soda - 2 Liter","1.99","67.5 oz","2017-08-01 08:17:11",NULL,"170.000",NULL,"0.000",NULL,"0.000",NULL,"45.000",NULL,"0.070",NULL,"12.000","1907","64","3","1","1","1","1","25","Soda","images/products/f/8ev8avjdswt13lu.jpg"
"Amp Berry Blast Energy Drink","2.29","16 oz","2017-08-01 08:17:11",NULL,"120.000",NULL,"0.000",NULL,"0.000",NULL,"15.000",NULL,"0.075",NULL,"473.000","1797","58","3","1","1","1","1","2","Energy Drinks","images/products/p/ryzi5lnpqz8c0wp.jpg"
"Amp Grape Energy Drink","2.29","16 oz","2017-08-01 08:17:11",NULL,"130.000",NULL,"0.000",NULL,"0.000",NULL,"0.000",NULL,"0.150",NULL,"473.000","1798","58","3","1","1","1","1","2","Energy Drinks","images/products/6/bh1va67htkknrll.jpg"
"Amp Lemonade Energy Drink","2.29","16 oz","2017-08-01 08:17:11",NULL,"130.000",NULL,"0.000",NULL,"0.000",NULL,"0.000",NULL,"0.230",NULL,"473.000","1799","58","3","1","1","1","1","2","Energy Drinks","images/products/8/s7365fsi2hjq5oq.jpg"
"Apple & Eve Fruitables - Fruit and Vegatable Juice box (6.75 oz ","3.79","54 oz","2017-08-01 08:17:11",NULL,"60.000",NULL,"0.000",NULL,"0.000",NULL,"9.000",NULL,"0.010",NULL,"200.000","1827","61","3","1","1","1","1","2","Boxed Drinks","images/products/e/a2vpudzyilbgdbw.jpg"
"Apple & Eve Fruitables- Berry Berry (6.75 each)","3.79","54 oz","2017-08-01 08:17:11",NULL,"60.000",NULL,"0.000",NULL,"0.000",NULL,"9.000",NULL,"0.010",NULL,"200.000","1828","61","3","1","1","1","1","2","Boxed Drinks","images/products/w/h3eszddoxjn802m.jpg"
"Aquafina 12 pack - 16.9 oz each","4.69","192 oz","2017-08-01 08:17:11",NULL,"0.000",NULL,"0.000",NULL,"0.000",NULL,"0.000",NULL,"0.000",NULL,"400.000","1984","67","3","1","1","1","1","2","Water","images/products/q/w9rjxys5cbswm9m.jpg"
"Aquafina Strawberry Kiwi - 6 pack / 16.9 oz each","3.69","101.4 oz","2017-08-01 08:17:11",NULL,"0.000",NULL,"0.000",NULL,"0.000",NULL,"0.000",NULL,"0.135",NULL,"500.000","1985","67","3","1","1","1","1","2","Water","images/products/u/jongrwnxvcqfgnk.jpg"
"Aquarius Spring 6 pack - 16.9 oz each","2.99","101.4 oz","2017-08-01 08:17:11",NULL,"0.000",NULL,"0.000",NULL,"0.000",NULL,"0.000",NULL,"0.000",NULL,"240.000","1986","67","3","1","1","1","1","2","Water","images/products/r/r171ed8jg7rln3q.jpg"
"Arizona Arnold Palmer Drink","3.19","128 oz","2017-08-01 08:17:11",NULL,"50.000",NULL,"0.000",NULL,"0.000",NULL,"13.000",NULL,"0.010",NULL,"240.000","1812","60","3","1","1","1","1","2","Iced Tea","images/products/8/5jm03drm1kig39c.jpg"
"Arizona Ginseng Tea","3.19","128 oz","2017-08-01 08:17:11",NULL,"0.000",NULL,"0.000",NULL,"0.000",NULL,"0.000",NULL,"0.020",NULL,"240.000","1814","60","3","1","1","1","1","2","Iced Tea","images/products/a/pj9gq0myan74kiq.jpg"
"Arizona Green Tea","0.99","23 oz","2017-08-01 08:17:11",NULL,"70.000",NULL,"0.000",NULL,"0.000",NULL,"17.000",NULL,"0.010",NULL,"240.000","1813","60","3","1","1","1","1","2","Iced Tea","images/products/h/ffc7uqtk1q8e9hb.jpg"
"Atkins Advantage Shake - Strawberry 4 pk (11 oz each)","6.99","44 oz","2017-08-01 08:17:11",NULL,"160.000",NULL,"9.000",NULL,"1.500","5.00","1.000",NULL,"0.180",NULL,"325.000","1866","63","3","1","1","1","1","2","Nutritional","images/products/j/b25uhjbx6fpiw9f.jpg"
"Atkins Advantage Shake - Vanilla 4 pk (11 oz each)","6.99","44 oz","2017-08-01 08:17:11",NULL,"160.000",NULL,"9.000",NULL,"1.000","6.00","1.000",NULL,"0.180",NULL,"325.000","1865","63","3","1","1","1","1","2","Nutritional","images/products/j/sumqdo2qtuca8mm.jpg"
